name,price,images,category,source_url,description
ليمون 1 كيلو,6.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480005-1480005-ai-optimized.png?generation=1768136916641640&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480005,
بطاطا بلدية 1 كيلو,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480006-1480006-ai-optimized.png?generation=1768511170559053&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480006,
بطاطا كيس احمر 4 كيلو,13.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480007-1480007-ai-optimized.png?generation=1768137684978584&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480007,
بطاطا كيس ابيض 4 كيلو,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480008-1480008-ai-optimized.png?generation=1768137770671869&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480008,
بطاطا حلوة 1 كيلو حجم كبير,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480009-1480009-ai-optimized.png?generation=1768138010772009&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480009,
فلفل حار 500غم,4.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480010-1480010-ai-optimized.png?generation=1768138080109821&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480010,
فليفلة اخضر 1 كيلو,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480011-IMG_5544-no-bg.png?generation=1734358079360601&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480011,
فليفلة الوان 1 كيلو,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480012-1480012-ai-optimized.png?generation=1768140002985975&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480012,
بصل عادي 1 كيلو,4.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480013-IMG_E4467-no-bg.png?generation=1733841796218922&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480013,
بصل اخضر ربطة,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480014-1480014-ai-optimized.png?generation=1768140043175467&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480014,
